"날짜","제품명","유형","고객문의","답변내용","담당자"
"2025-02-04","울트라 모니터 Lite2","기능/사용법","울트라 모니터 Lite2는 피벗(Pivot) 기능을 지원하나요? 세로로 세워서 쓸 수 있나요?","네, 지원합니다. 울트라 모니터 Lite2에 기본으로 제공되는 다기능 스탠드는 상하 각도 조절(틸트), 좌우 회전(스위블), 높낮이 조절(엘리베이션)과 더불어, 화면을 90도 회전하여 세로로 사용할 수 있는 피벗 기능을 모두 지원합니다. 코딩이나 웹서핑 시 유용하게 사용할 수 있습니다.","박도윤"
"2025-02-03","울트라 드론","배송/결제","울트라 드론을 구매하면 보험(드론 케어)도 같이 가입되나요?","아니요, '울트라 드론 케어' 서비스는 별도로 구매하셔야 하는 상품입니다. 드론 제품 구매 시 옵션으로 추가하시거나, 드론 활성화 후 48시간 이내에 저희 홈페이지를 통해 별도로 가입하실 수 있습니다. 사용자 과실로 인한 파손도 보상되므로 가입을 적극 추천합니다.","최지우"
"2025-02-03","무선 스피커","기능/사용법","무선 스피커에 AUX 단자가 있나요? 블루투스 안되는 기기랑 연결하고 싶습니다.","네, 있습니다. 저희 무선 스피커 제품은 블루투스 5.0 무선 연결과 더불어, 후면에 3.5mm AUX 입력 단자를 탑재하고 있습니다. 동봉된 AUX 케이블을 이용하여 MP3 플레이어나 구형 노트북 등 블루투스를 지원하지 않는 기기와도 유선으로 연결하여 사용할 수 있습니다.","정하은"
"2025-02-02","AI 키보드 Z5","호환성","AI 키보드 Z5는 플레이스테이션5에 연결해서 사용할 수 있나요?","네, 가능합니다. AI 키보드 Z5에 포함된 2.4GHz USB 동글을 플레이스테이션5의 USB 포트에 꽂으면, 별도의 설정 없이 바로 키보드로 인식됩니다. 파이널판타지14와 같이 키보드 입력을 지원하는 게임에서 채팅 등을 편리하게 이용할 수 있습니다.","김민준"
"2025-02-02","울트라 드론 Z","기능/사용법","울트라 드론 Z는 줌(Zoom) 기능이 있나요?","네, 울트라 드론 Z는 듀얼 카메라 시스템을 탑재하고 있습니다. 광각 카메라와 더불어, 광학 3배 줌과 디지털 줌을 결합한 하이브리드 줌 기능을 통해 멀리 있는 피사체를 화질 저하를 최소화하면서 선명하게 당겨서 촬영할 수 있습니다.","이서연"
"2025-02-01","고성능 태블릿 X","AS/교환/환불","고성능 태블릿 X를 떨어뜨려서 액정이 파손되었습니다. 수리비는 대략 얼마 정도인가요?","액정 파손으로 심려가 크시겠습니다. 고성능 태블릿 X의 경우 디스플레이 부품 비용이 높아, 액정 교체 수리 시 대략 30~40만원 사이의 비용이 발생할 수 있습니다. 정확한 비용은 저희 서비스센터에 제품이 입고되어 엔지니어가 직접 확인한 후에 안내해 드릴 수 있습니다.","박도윤"
"2025-02-01","기가 메모리 X4","보안/기타","기가 메모리 X4 제품의 보증 기간은 어떻게 되나요?","기가 메모리 X4 제품은 제한적 평생 보증(Limited Lifetime Warranty) 정책이 적용됩니다. 이는 제품이 단종되기 전까지, 정상적인 사용 환경에서 발생한 하드웨어 결함에 대해 기간 제한 없이 무상으로 교환 서비스를 받으실 수 있음을 의미합니다.","최지우"
"2025-01-31","기가 메모리 Go","호환성","기가 메모리 Go(DDR4)와 기존에 쓰던 다른 회사 DDR4 메모리를 같이 꽂아서 사용해도 되나요?","네, 대부분의 경우 사용 가능합니다. 다만, 제조사와 클럭, 타이밍이 다른 메모리를 혼용할 경우, 시스템은 더 낮은 성능의 메모리 속도에 맞춰서 작동하게 됩니다. 최상의 성능과 안정성을 위해서는 가급적 동일한 모델의 메모리로 듀얼 채널을 구성하시는 것을 권장합니다.","정하은"
"2025-01-31","울트라 솔루션 Lite","배송/결제","울트라 솔루션 Lite 버전을 구매했는데, Pro 버전으로 업그레이드하고 싶습니다. 차액만 결제하면 되나요?","네, 가능합니다. 저희 공식 스토어에 로그인하신 후 '라이선스 관리' 페이지에서 '업그레이드' 버튼을 누르시면, Pro 버전과의 차액만 추가로 결제하고 간편하게 라이선스를 업그레이드하실 수 있습니다.","김민준"
"2025-01-30","울트라 솔루션 Max5","기능/사용법","울트라 솔루션 Max5의 'AI 추천' 기능은 어떤 기준으로 동작하는 건가요?","'AI 추천' 기능은 수백만 건의 비식별화된 사용자 데이터를 기반으로, 현재 고객님의 작업 내용과 패턴을 분석하여 가장 효율적인 다음 작업이나 필요한 기능을 예측하고 추천해주는 기능입니다. 사용할수록 고객님께 맞춰져 더욱 정확한 추천을 제공합니다.","이서연"
"2025-01-30","고성능 드론 Plus2","AS/교환/환불","고성능 드론 Plus2가 비행 중에 갑자기 제멋대로 움직입니다. 조종이 잘 안돼요.","매우 위험한 상황일 수 있으니 즉시 비행을 중단해주십시오. 해당 증상은 GPS 수신 불량 또는 지자계(나침반) 센서 오류일 가능성이 높습니다. 주변에 강한 전파를 발생시키는 시설이 없는지 확인해 보시고, 평평한 곳에서 앱의 '나침반 캘리브레이션'을 다시 실행해 보시기 바랍니다. 문제가 지속되면 반드시 점검을 받으셔야 합니다.","박도윤"
"2025-01-29","AI 마우스 Plus9","호환성","AI 마우스 Plus9은 로지텍의 Flow처럼 여러 PC를 넘나들며 사용할 수 있나요?","네, 저희 'AI 커넥트' 소프트웨어를 각 PC에 설치하시면, 동일한 네트워크에 연결된 최대 3대의 PC를 마우스 커서 이동만으로 자유롭게 넘나들며 제어할 수 있습니다. 한 PC에서 복사한 텍스트나 파일을 다른 PC로 바로 붙여넣기하는 기능도 지원하여 작업 효율을 극대화할 수 있습니다.","최지우"
"2025-01-29","에코 모니터 Pro4","기능/사용법","에코 모니터 Pro4의 USB-C 포트는 노트북 충전을 몇 W까지 지원하나요?","에코 모니터 Pro4의 USB-C 포트는 영상 신호(DP Alt Mode)와 데이터 전송, 그리고 최대 65W의 USB-PD 충전을 지원합니다. 따라서 케이블 하나만 연결하여 화면 출력과 동시에 맥북 에어나 LG 그램 등 대부분의 저전력 노트북을 충전할 수 있습니다.","정하은"
"2025-01-28","AI 로봇청소기 Max10","기능/사용법","AI 로봇청소기 Max10의 AI 사물인식 기능은 전선이나 반려동물 배변도 피해가나요?","네, AI 로봇청소기 Max10은 3D 구조광 센서와 AI 프로세서를 통해, 신발, 양말, 전선, 멀티탭뿐만 아니라 반려동물의 배설물까지 정확하게 인식하고 회피하도록 훈련되었습니다. 이를 통해 청소 중 발생할 수 있는 다양한 문제를 예방합니다.","김민준"
"2025-01-28","하이퍼 센서 SE2","연결/설치","하이퍼 센서 SE2는 배터리로 작동하나요? 교체 주기는 어떻게 되나요?","네, 하이퍼 센서 SE2는 저전력으로 설계되어 CR2450 코인 배터리 하나로 약 1.5년 ~ 2년간 사용이 가능합니다. 배터리 잔량은 전용 앱에서 실시간으로 확인할 수 있으며, 교체 시기가 되면 앱을 통해 알림을 보내드립니다.","이서연"
"2025-01-27","무선 모니터 Lite","기능/사용법","무선 모니터 Lite는 어떻게 무선으로 연결하는 건가요?","무선 모니터 Lite는 미라캐스트(Miracast)와 에어플레이 2(AirPlay 2)를 모두 지원합니다. 윈도우 PC에서는 '무선 디스플레이 연결(Win+K)'을, 안드로이드폰에서는 'Smart View'를, 아이폰이나 맥에서는 '화면 미러링'을 통해 케이블 없이 간편하게 화면을 복제하거나 확장할 수 있습니다.","박도윤"
"2025-01-27","에코 프로젝터 SE","AS/교환/환불","에코 프로젝터 SE의 램프 수명은 어느 정도이고, 교체 비용은 어떻게 되나요?","에코 프로젝터 SE는 기존의 수은 램프가 아닌 LED 광원을 사용합니다. LED 광원의 수명은 최대 30,000시간으로, 하루 4시간씩 매일 사용해도 20년 이상 사용할 수 있는 반영구적인 수명입니다. 따라서 사용 기간 중 램프를 교체할 필요가 거의 없습니다.","최지우"
"2025-01-26","하이퍼 충전기 Lite","호환성","하이퍼 충전기 Lite로 갤럭시 S24 울트라를 충전하면 '초고속 충전 2.0'이 뜨나요?","아니요, 하이퍼 충전기 Lite는 최대 25W의 USB-PD 충전을 지원합니다. 따라서 갤럭시 S24 울트라 연결 시 '초고속 충전'은 지원되지만, 45W 충전이 필요한 '초고속 충전 2.0'은 지원되지 않습니다. 초고속 충전 2.0을 원하시면 45W 이상 및 PPS 규격을 지원하는 '하이퍼 충전기 Z' 모델을 사용하셔야 합니다.","정하은"
"2025-01-26","퓨처 모니터 Air","기능/사용법","퓨처 모니터 Air는 휴대용 모니터인가요? 무게와 두께가 궁금합니다.","네, 퓨처 모니터 Air는 16인치 터치스크린을 탑재한 휴대용 모니터입니다. 무게는 약 700g, 가장 얇은 부분의 두께는 5mm에 불과하여 노트북과 함께 가방에 넣고 다니며 듀얼 모니터 환경을 구축하기에 매우 용이합니다.","김민준"
"2025-01-25","에코 이어폰 Pro3","AS/교환/환불","에코 이어폰 Pro3를 세탁기에 넣고 돌렸습니다. 소리가 이상하게 나오는데 수리가 될까요?","침수로 인한 고장은 수리가 매우 어렵습니다. 특히 세제와 함께 세탁된 경우 내부 부품의 부식이 빠르게 진행됩니다. 절대 충전하거나 전원을 켜지 마시고, 저희 서비스센터에 방문하여 점검을 받아보시는 것이 좋습니다. 다만, 수리가 불가능할 가능성이 높으며, 침수는 무상 보증 대상에서 제외됩니다.","이서연"
"2025-01-25","에코 가습기 Go","보안/기타","에코 가습기 Go는 세척이 편한가요? 상부 급수 방식인가요?","네, 에코 가습기 Go는 사용 편의성을 높이기 위해, 뚜껑만 열고 바로 물을 부을 수 있는 '상부 급수 방식'을 채택했습니다. 또한, 수조 내부 구조가 단순하고 부품 분리가 간편하여 구석구석 깨끗하게 세척할 수 있습니다.","박도윤"
"2025-01-24","네오 드론 Air","기능/사용법","네오 드론 Air의 무게는 몇 그램인가요? 자격증이 필요한가요?","네오 드론 Air의 이륙 중량은 249g입니다. 현행법상 250g 미만의 드론은 '저위험 무인동력비행장치'로 분류되어, 별도의 자격증 없이 누구나 자유롭게 비행을 즐길 수 있습니다. 다만, 비행 금지 구역 및 고도 제한 등 관련 법규는 반드시 준수하셔야 합니다.","최지우"
"2025-01-24","스마트 태블릿 Z6","호환성","스마트 태블릿 Z6는 GPS가 내장되어 있나요? 자동차 내비게이션으로 사용할 수 있나요?","네, 스마트 태블릿 Z6의 Wi-Fi + Cellular 모델에는 GPS 칩이 내장되어 있습니다. 따라서 T맵이나 카카오내비와 같은 내비게이션 앱을 설치하여 차량용 대화면 내비게이션으로 충분히 활용하실 수 있습니다. (Wi-Fi 모델에는 GPS가 없습니다.)","정하은"
"2025-01-23","울트라 태블릿 SE","기능/사용법","울트라 태블릿 SE는 어떤 펜을 지원하나요?","울트라 태블릿 SE는 와콤 EMR 기술이 적용된 'S펜'과 완벽하게 호환됩니다. 4096 레벨의 필압과 틸트(기울기) 인식을 지원하여, 실제 펜과 같은 정교하고 자연스러운 필기 및 드로잉 경험을 제공합니다.","김민준"
"2025-01-23","에코 메모리 Pro1","AS/교환/환불","에코 메모리 Pro1를 장착하고 PC 부팅 시 블루스크린이 뜹니다.","블루스크린이 발생하는 경우, 메모리 초기 불량 또는 다른 하드웨어와의 호환성 문제일 수 있습니다. 윈도우에 내장된 '메모리 진단 도구'를 실행하여 메모리 오류 여부를 확인해 보시기 바랍니다. 오류가 검출될 경우, 저희 고객센터를 통해 제품 교환을 받으실 수 있습니다.","이서연"
"2025-01-22","퀀텀 드론 Ultra1","보안/기타","퀀텀 드론 Ultra1은 ADS-B 수신기가 탑재되어 있나요?","네, 퀀텀 드론 Ultra1은 주변의 유인 항공기(비행기, 헬리콥터 등)가 발신하는 ADS-B 신호를 수신하여 조종자에게 그 위치를 경고해주는 AirSense 기능을 탑재하고 있습니다. 이를 통해 공중 충돌의 위험을 사전에 인지하고 회피할 수 있어 비행 안전성이 크게 향상됩니다.","박도윤"
"2025-01-22","퀀텀 충전기 Plus","기능/사용법","퀀텀 충전기 Plus는 접지형 플러그인가요?","네, 맞습니다. 퀀텀 충전기 Plus는 사용자의 안전과 기기 보호를 위해 접지형 플러그로 설계되었습니다. 접지 기능이 있는 콘센트에 사용하시면 누설 전류를 방지하고, 노트북 등 연결된 기기에서 발생할 수 있는 정전기나 터치 노이즈를 줄여주는 효과가 있습니다.","최지우"
"2025-01-21","기가 플랫폼 Plus","AS/교환/환불","기가 플랫폼 Plus를 업데이트한 후 일부 기능이 작동하지 않습니다. 롤백(이전 버전으로 되돌리기)이 가능한가요?","업데이트 후 문제 발생으로 불편을 드려 죄송합니다. 저희 기술 지원팀을 통해 이전 버전으로 롤백하는 것을 지원해 드리고 있습니다. 다만, 이전 버전으로 돌아갈 경우 업데이트 이후에 생성된 데이터가 유실될 수 있으니, 중요한 데이터는 반드시 백업하신 후 진행하셔야 합니다.","정하은"
"2025-01-21","프로 플랫폼 Z4","호환성","프로 플랫폼 Z4는 Mac OS와 호환되나요?","아니요, 프로 플랫폼 Z4는 현재 윈도우 운영체제에서만 사용 가능하도록 개발되었습니다. Mac OS 버전은 현재 개발 계획에 있으나, 정확한 출시 일정은 정해지지 않았습니다.","김민준"
"2025-01-20","스마트 이어폰 Pro3","연결/설치","스마트 이어폰 Pro3가 스마트폰과 연결이 자꾸 끊겼다 붙었다 합니다.","블루투스 연결이 불안정할 경우, 먼저 스마트폰의 블루투스 기능을 껐다가 다시 켜보시고, 이어폰을 케이스에 넣었다가 다시 꺼내서 재연결을 시도해 보시기 바랍니다. 또한, 주변에 전파 간섭이 심한 곳(지하철, 번화가 등)에서는 일시적으로 끊김이 발생할 수 있습니다. 문제가 지속되면 초기화 후 재연결을 권장합니다.","이서연"
"2025-01-20","퀀텀 솔루션 SE8","기능/사용법","퀀텀 솔루션 SE8의 라이선스는 영구적인가요, 아니면 기간제인가요?","퀀텀 솔루션 SE8은 한번 구매하시면 영구적으로 사용하실 수 있는 '영구 라이선스' 방식입니다. 다만, 새로운 기능이 추가되는 대규모 판올림(메이저 업데이트)의 경우 별도의 업그레이드 비용이 발생할 수 있으며, 버그 수정 등 마이너 업데이트는 무료로 제공됩니다.","박도윤"
"2025-01-19","퓨처 로봇청소기 Air5","AS/교환/환불","퓨처 로봇청소기 Air5가 스테이션으로 복귀를 못 하고 길을 잃습니다.","로봇청소기가 스테이션으로 복귀하지 못하는 경우, 먼저 스테이션 주변 반경 1m 이내에 장애물이 없는지 확인해 주십시오. 거울이나 반사가 심한 가구 등이 있어도 위치를 잘못 인식할 수 있습니다. 또한, 앱에서 맵을 삭제하고 다시 한번 전체 청소를 통해 맵을 새로 생성해 보시는 것도 좋은 방법입니다.","최지우"
"2025-01-19","스마트 마우스 X","보안/기타","스마트 마우스 X는 어떤 배터리를 사용하나요? 충전식인가요?","스마트 마우스 X는 AA 건전지 1개를 사용하여 작동하는 제품입니다. 저전력 설계를 통해 고품질의 알카라인 건전지 하나로 최대 18개월까지 사용이 가능하여, 잦은 충전의 번거로움이 없습니다.","정하은"
"2025-01-18","무선 로봇청소기 Pro8","기능/사용법","무선 로봇청소기 Pro8의 '카펫 회피' 기능은 무엇인가요?","'카펫 회피' 기능은 물걸레 청소를 할 때, 로봇청소기가 카펫을 만나면 그 위로 올라가지 않고 아예 우회하여 청소하는 기능입니다. 물걸레를 들어 올리는 '리프팅' 기능과 달리, 털이 긴 카펫 등이 젖는 것을 원천적으로 방지하고 싶을 때 유용합니다.","김민준"
"2025-01-18","고성능 드론 Lite6","호환성","고성능 드론 Lite6는 어떤 조종기를 사용하나요? 스마트폰을 연결해야 하나요?","고성능 드론 Lite6는 디스플레이가 탑재된 '스마트 조종기'가 기본으로 포함되어 있습니다. 따라서 별도로 스마트폰을 연결할 필요 없이, 조종기 화면을 통해 실시간으로 드론의 영상을 보면서 비행할 수 있어 매우 편리합니다.","이서연"
"2025-01-17","AI 태블릿 SE","AS/교환/환불","AI 태블릿 SE의 충전 단자(USB-C)가 헐거워져서 충전이 잘 안됩니다. 수리가 가능한가요?","네, 충전 단자 손상은 저희 서비스센터를 통해 수리가 가능합니다. 해당 부품을 교체하는 작업이 필요하며, 보증 기간(1년) 이내라도 사용 중 마모나 파손으로 인한 고장은 유상으로 처리될 수 있습니다. 센터에서 정확한 비용을 안내받으실 수 있습니다.","박도윤"
"2025-01-17","고성능 마우스 Z","기능/사용법","고성능 마우스 Z는 폴링레이트가 몇 Hz인가요? 조절이 가능한가요?","고성능 마우스 Z는 유선 및 2.4GHz 무선 연결 시 최대 4000Hz의 하이퍼 폴링레이트를 지원하여, 마우스의 움직임을 PC에 초당 4000번 보고합니다. 이를 통해 매우 부드럽고 정밀한 커서 움직임이 가능합니다. 전용 소프트웨어에서 125, 500, 1000, 2000, 4000Hz로 조절할 수 있습니다.","최지우"
"2025-01-16","퀀텀 가습기 SE","보안/기타","퀀텀 가습기 SE는 아로마 오일을 사용할 수 있나요?","아니요, 퀀텀 가습기 SE는 가열식 제품으로, 아로마 오일을 넣을 경우 발열판에 오일이 눌어붙어 성능 저하나 고장의 원인이 될 수 있습니다. 제품의 오랜 수명을 위해 깨끗한 물만 사용해 주시기 바랍니다.","정하은"
"2025-01-16","스마트 노트북 Pro","기능/사용법","스마트 노트북 Pro의 키보드는 백라이트를 지원하나요?","네, 지원합니다. 스마트 노트북 Pro의 키보드는 화이트 LED 백라이트를 탑재하고 있습니다. Fn 키와 스페이스 바를 함께 눌러 백라이트를 끄거나, 2단계로 밝기를 조절할 수 있어 어두운 환경에서도 편리하게 타이핑할 수 있습니다.","김민준"
"2025-01-15","프로 센서 Ultra","연결/설치","프로 센서 Ultra는 어떤 데이터를 측정할 수 있나요?","프로 센서 Ultra는 하나의 기기로 온도, 습도, 동작 감지, 조도(밝기), 기압, 그리고 실내 공기질(VOCs)까지 총 6가지의 환경 데이터를 종합적으로 측정하는 고성능 센서입니다. 전문적인 환경 모니터링 및 자동화 구성에 적합합니다.","이서연"
"2025-01-15","기가 키보드 Air4","AS/교환/환불","기가 키보드 Air4의 특정 키 스위치가 고장났는데, 스위치만 교체할 수 있나요?","네, 기가 키보드 Air4는 핫스왑 기능을 지원하는 기판을 사용하여, 납땜 작업 없이도 손쉽게 스위치를 교체할 수 있습니다. 동봉된 스위치 리무버를 이용해 고장 난 스위치를 빼고, 저희 스토어나 시중에서 판매하는 동일한 규격(3핀/5핀)의 기계식 스위치를 꽂아주시면 됩니다.","박도윤"
"2025-01-14","하이퍼 글래스 Ultra7","호환성","하이퍼 글래스 Ultra7을 PC에 연결해서 가상 모니터로 사용할 수 있나요?","네, 하이퍼 글래스 Ultra7은 PC의 USB-C(DP Alt Mode 지원) 또는 HDMI 포트에 연결하여, 최대 3개의 가상 모니터를 공간에 띄워놓고 사용할 수 있는 '공간 컴퓨팅' 기능을 지원합니다. 물리적인 모니터 없이도 다중 디스플레이 환경을 구축할 수 있습니다.","최지우"
"2025-01-14","울트라 솔루션 Ultra2","배송/결제","울트라 솔루션 Ultra2를 구매했는데, 환불하고 싶습니다. 어떻게 해야 하나요?","고객님, 저희 소프트웨어 제품은 디지털 콘텐츠의 특성상 제품 키(라이선스)가 이메일로 발송된 이후에는 재화의 가치가 현저히 감소하여 환불이 원칙적으로 어렵습니다. 다만, 구매 후 7일 이내이고 제품 키를 아직 인증하지 않으셨다면 예외적으로 환불이 가능할 수 있으니 고객센터로 문의 바랍니다.","정하은"
"2025-01-13","스마트 마우스 Air","기능/사용법","스마트 마우스 Air는 클릭 소리가 조용한 무소음 마우스인가요?","네, 맞습니다. 스마트 마우스 Air는 특수 설계된 저소음 스위치를 사용하여, 일반 마우스 대비 클릭 소음을 90% 이상 줄였습니다. 도서관이나 조용한 사무실, 심야 시간대에 다른 사람에게 방해를 주지 않고 편안하게 사용할 수 있습니다.","김민준"
"2025-01-13","기가 가습기 Ultra","AS/교환/환불","기가 가습기 Ultra의 UV-C 램프가 고장 난 것 같습니다. 교체가 가능한가요?","네, 가습기 내부의 UV-C 램프는 소모품으로, 수명이 다하면 교체가 가능합니다. 저희 서비스센터를 통해 유상으로 교체 서비스를 받으실 수 있습니다. 램프의 권장 교체 주기는 약 10,000시간입니다.","이서연"
"2025-01-12","에코 허브 Lite7","연결/설치","에코 허브 Lite7에 스마트싱스(SmartThings) 센서를 연결할 수 있나요?","네, 스마트싱스 센서는 대부분 표준 지그비(Zigbee) 통신 방식을 사용하므로, 저희 에코 허브 Lite7에 직접 연결하여 사용하실 수 있습니다. 에코홈 앱에서 '기기 추가'를 통해 센서를 검색하여 등록하시면 됩니다.","박도윤"
"2025-01-12","고성능 워치 Air","기능/사용법","고성능 워치 Air는 수영 운동 측정이 가능한가요? 방수 등급이 궁금합니다.","네, 가능합니다. 고성능 워치 Air는 5ATM(5기압) 방수 등급을 지원하여, 수영장이나 바다에서 착용하고 수영 운동을 측정할 수 있습니다. 실내/야외 수영 모드를 제공하며, 영법, 스트로크 수, 거리, SWOLF 점수 등 상세한 데이터를 기록합니다.","최지우"
"2025-01-11","스마트 프로세서 Lite9","호환성","스마트 프로세서 Lite9은 내장 그래픽 성능이 어느 정도인가요? 롤(LoL) 정도는 돌아가나요?","스마트 프로세서 Lite9에 탑재된 내장 그래픽은 '스마트 그래픽스 550'으로, 4K 영상 재생 등 일상적인 작업은 물론, 리그 오브 레전드(LoL)나 발로란트와 같은 캐주얼한 온라인 게임을 옵션 타협을 통해 충분히 즐길 수 있는 수준의 성능을 제공합니다.","정하은"
"2025-01-11","AI 프로세서 Plus3","보안/기타","AI 프로세서 Plus3는 어떤 보안 기능을 내장하고 있나요?","AI 프로세서 Plus3는 하드웨어 기반의 보안 플랫폼인 'AI Shield'를 내장하고 있습니다. 이를 통해 부팅 과정부터 펌웨어 변조를 감지하고, 실시간으로 메모리를 암호화하며, 악성코드의 비정상적인 접근을 하드웨어 수준에서 차단하여 시스템을 안전하게 보호합니다.","김민준"
"2025-01-10","프로 플랫폼 Air8","기능/사용법","프로 플랫폼 Air8은 클라우드 기반 서비스인가요, 아니면 PC에 설치하는 방식인가요?","프로 플랫폼 Air8은 PC에 설치하여 사용하는 데스크톱 애플리케이션을 기본으로 하지만, 작업한 프로젝트를 저희 클라우드 스토리지에 동기화하여 백업하고, 다른 사용자와 협업할 수 있는 하이브리드 방식을 채택하고 있습니다.","이서연"
"2025-01-10","퓨처 드론 Plus","AS/교환/환불","퓨처 드론 Plus로 촬영한 영상이 자꾸 젤로 현상(화면이 꿀렁이는 현상)이 나타납니다.","젤로 현상은 프로펠러의 미세한 진동이 카메라에 전달되어 발생하는 문제입니다. 먼저 프로펠러에 찍힘이나 손상이 없는지 확인하고, 손상되었다면 즉시 교체해 주십시오. 또한, 짐벌을 보호하는 짐벌 댐퍼(고무 부품)가 제대로 장착되어 있는지, 경화되지는 않았는지 확인이 필요합니다. 문제가 지속되면 센터에서 점검을 받아보시는 것이 좋습니다.","박도윤"
"2025-01-09","무선 워치 Z6","기능/사용법","무선 워치 Z6는 심전도(ECG) 측정이 가능한가요?","네, 가능합니다. 무선 워치 Z6는 식품의약품안전처로부터 의료기기 허가를 받은 심전도(ECG) 측정 기능을 탑재하고 있습니다. 워치 앱을 실행하고 용두(크라운)에 손가락을 30초간 가볍게 대고 있으면 심전도를 측정하고, 기록을 PDF 파일로 저장하여 병원 진료 시 참고 자료로 활용할 수 있습니다.","최지우"
"2025-01-09","스마트 프로세서","호환성","스마트 프로세서는 어떤 종류의 램(RAM)을 지원하나요? DDR4인가요, DDR5인가요?","스마트 프로세서는 최신 규격인 DDR5 메모리만 공식적으로 지원합니다. DDR4 메모리 슬롯을 가진 메인보드와는 호환되지 않으니, 시스템 구성 시 반드시 DDR5를 지원하는 메인보드와 메모리를 함께 사용하셔야 합니다.","정하은"
"2025-01-08","스마트 플랫폼 Lite","배송/결제","스마트 플랫폼 Lite 버전을 무료로 사용하고 있는데, 유료 버전과 가장 큰 차이점이 무엇인가요?","Lite 버전은 개인 사용자를 위한 핵심 기능을 제공하는 무료 플랜입니다. 유료 Pro 버전으로 업그레이드하시면, 팀 협업 기능, 고급 분석 대시보드, API 연동, 데이터 저장 용량 무제한, 전담 기술 지원 등 비즈니스 환경에 필요한 전문적인 기능들을 사용하실 수 있습니다.","김민준"
"2025-01-08","기가 태블릿 Max","기능/사용법","기가 태블릿 Max는 덱스(DeX) 모드를 지원하나요?","네, 기가 태블릿 Max는 PC와 유사한 환경을 제공하는 '기가 데스크톱 모드'를 지원합니다. 태블릿을 외부 모니터에 연결하고 블루투스 키보드/마우스를 페어링하면, 여러 개의 창을 동시에 띄워놓고 작업하는 등 향상된 멀티태스킹 환경을 경험할 수 있습니다.","이서연"
"2025-01-07","울트라 키보드 Max9","AS/교환/환불","울트라 키보드 Max9의 LED 백라이트 일부가 다른 색으로 나옵니다.","특정 키의 LED 색상이 다르게 표현된다면 해당 키의 LED 소자 불량일 가능성이 높습니다. 저희 AS 센터에서 점검 후 불량으로 확인될 경우, 보증 기간(2년) 이내라면 무상으로 수리 또는 제품 교환을 진행해 드리고 있습니다. 고객센터로 접수 부탁드립니다.","박도윤"
"2025-01-07","퓨처 솔루션","호환성","퓨처 솔루션에서 작업한 파일을 PDF로 내보낼 때, 폰트가 깨지는 현상이 있습니다.","PDF 내보내기 시 폰트가 깨지는 현상은 해당 폰트가 PC에 제대로 설치되지 않았거나 라이선스 문제로 포함되지 않았을 때 발생합니다. 'PDF로 내보내기' 옵션에서 '폰트 포함(Embed Fonts)' 또는 '텍스트를 곡선으로 변환' 옵션을 체크하고 저장하시면 문제를 해결할 수 있습니다.","최지우"
"2025-01-06","고성능 카메라 SE","기능/사용법","고성능 카메라 SE의 연사 성능은 어느 정도인가요?","고성능 카메라 SE는 기계식 셔터 사용 시 초당 7매, 전자식 셔터 사용 시 초당 15매의 고속 연사 촬영이 가능합니다. 빠르게 움직이는 아이나 반려동물의 순간적인 표정을 놓치지 않고 포착할 수 있습니다.","정하은"
"2025-01-06","퀀텀 프로젝터 Max","연결/설치","퀀텀 프로젝터 Max를 천장에 설치하고 싶은데, 화면을 뒤집는 기능이 있나요?","네, 있습니다. 프로젝터 설정 메뉴의 '투사 방식' 또는 '설치 모드' 옵션에서 '천장 설치(전면 투사)' 또는 '천장 설치(후면 투사)'를 선택하시면, 투사되는 화면이 180도 상하 반전되어 정상적인 화면으로 보실 수 있습니다.","김민준"
"2025-01-05","무선 충전기 Max2","호환성","무선 충전기 Max2는 애플 워치도 충전할 수 있나요?","아니요, 무선 충전기 Max2는 스마트폰과 이어폰 등 Qi 국제 표준 규격의 기기만 충전 가능합니다. 애플 워치는 독자적인 충전 규격을 사용하므로, 애플 워치 충전을 위해서는 전용 충전기나 'MFi(Made for Watch)' 인증을 받은 제품을 사용하셔야 합니다.","이서연"
"2025-01-05","네오 메모리 Plus10","AS/교환/환불","네오 메모리 Plus10를 XMP로 설정하면 PC가 부팅되지 않습니다.","XMP(오버클럭) 적용 후 부팅이 되지 않는다면, 사용하시는 메인보드나 CPU의 메모리 컨트롤러가 해당 클럭을 안정적으로 지원하지 못할 수 있습니다. 바이오스를 최신 버전으로 업데이트해 보시거나, XMP 프로파일 값보다 한 단계 낮은 클럭으로 수동 설정하여 사용해 보시는 것을 권장합니다. 그래도 문제가 지속되면 메모리 초기 불량일 수 있으니 점검을 받아보시는 것이 좋습니다.","박도윤"
"2025-01-04","퓨처 마우스 Lite","기능/사용법","퓨처 마우스 Lite의 배터리는 얼마나 가나요?","퓨처 마우스 Lite는 저전력 설계를 통해 AA 건전지 하나로 최대 12개월까지 사용이 가능합니다. 마우스를 사용하지 않을 때는 자동으로 절전 모드로 진입하여 불필요한 배터리 소모를 줄여줍니다.","최지우"
